state,crop,year,yield,n_req_kg_per_ha,p_req_kg_per_ha,k_req_kg_per_ha,n,p,k,ph
andhra pradesh,chickpea,1981,531.1844444444445,9.56132,5.311844444444445,9.56132,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1982,758.1855555555555,13.64734,7.581855555555555,13.64734,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1983,694.395,12.49911,6.94395,12.49911,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1984,494.65125,8.9037225,4.9465125,8.9037225,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1985,499.34499999999997,8.98821,4.99345,8.98821,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1986,542.308,9.761544,5.423080000000001,9.761544,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1987,507.1425,9.128565,5.071425,9.128565,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1988,533.1985714285714,9.597574285714286,5.3319857142857146,9.597574285714286,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1989,693.225,12.478050000000001,6.93225,12.478050000000001,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1990,1039.9066666666668,18.71832,10.399066666666666,18.71832,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1991,789.6766666666667,14.21418,7.896766666666666,14.21418,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1992,687.6166666666667,12.3771,6.876166666666666,12.3771,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1993,837.634,15.077411999999999,8.376339999999999,15.077411999999999,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1994,1074.5059999999999,19.341108,10.745059999999999,19.341108,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1995,826.64,14.87952,8.2664,14.87952,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1996,1128.282,20.309076,11.282820000000001,20.309076,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1997,524.9060000000001,9.448308,5.24906,9.448308,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1998,1521.622,27.389196,15.216220000000002,27.389196,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1999,948.783,17.078094,9.487829999999999,17.078094,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2000,1633.0149999999999,29.39427,16.33015,29.39427,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2001,1507.4463636363637,27.134034545454544,15.074463636363639,27.134034545454544,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2002,931.586,16.768548,9.31586,16.768548,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2003,1351.0933333333332,24.31968,13.510933333333334,24.31968,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2004,1184.1950000000002,21.31551,11.84195,21.31551,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2005,1904.9311111111112,34.288759999999996,19.049311111111113,34.288759999999996,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2006,1462.9744444444445,26.33354,14.629744444444444,26.33354,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2007,1264.678,22.764204,12.64678,22.764204,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2008,1491.276,26.842968000000003,14.91276,26.842968000000003,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2009,1450.517,26.109305999999997,14.505170000000001,26.109305999999997,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2010,1462.0266666666666,26.31648,14.620266666666668,26.31648,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2011,1256.2566666666667,22.61262,12.562566666666667,22.61262,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2012,1357.942,24.442956000000002,13.579419999999999,24.442956000000002,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2013,1615.866,29.085588,16.15866,29.085588,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2014,1574.3745454545453,28.338741818181816,15.743745454545454,28.338741818181816,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2015,1556.516,28.017288,15.56516,28.017288,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2016,1213.6722222222222,21.8461,12.136722222222222,21.8461,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2017,1310.2540000000001,23.584572,13.10254,23.584572,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1981,311.16285714285715,8.401397142857142,3.733954285714286,8.401397142857142,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1982,286.9871428571428,7.748652857142857,3.443845714285714,7.748652857142857,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1983,451.0,12.177000000000001,5.412,12.177000000000001,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1984,328.40625,8.86696875,3.940875,8.86696875,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1985,229.2325,6.1892775,2.75079,6.1892775,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1986,269.795,7.284465,3.23754,7.284465,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1987,148.11875,3.9992062500000003,1.777425,3.9992062500000003,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1988,193.65,5.22855,2.3238,5.22855,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1989,403.19666666666666,10.88631,4.83836,10.88631,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1990,356.646,9.629442000000001,4.279752,9.629442000000001,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1991,453.343,12.240261,5.440116,12.240261,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1992,311.548,8.411795999999999,3.7385760000000006,8.411795999999999,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1993,381.30625,10.29526875,4.575675,10.29526875,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1994,358.246,9.672642,4.298952,9.672642,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1995,315.661,8.522847,3.787932,8.522847,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1996,399.759,10.793493,4.797108,10.793493,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1997,345.61199999999997,9.331524,4.1473439999999995,9.331524,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1998,150.974,4.0762979999999995,1.8116880000000002,4.0762979999999995,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1999,247.15,6.673049999999999,2.9658,6.673049999999999,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2000,291.336,7.866072,3.4960319999999996,7.866072,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2001,351.34299999999996,9.486261,4.216116,9.486261,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2002,257.444,6.950988,3.089328,6.950988,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2003,350.837,9.472598999999999,4.210044,9.472598999999999,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2004,332.45,8.97615,3.9894,8.97615,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2005,254.638,6.875226,3.055656,6.875226,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2006,340.14,9.18378,4.08168,9.18378,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2007,417.50100000000003,11.272527,5.010012000000001,11.272527,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2008,402.2763636363636,10.861461818181818,4.827316363636364,10.861461818181818,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2009,382.23545454545456,10.320357272727271,4.586825454545455,10.320357272727271,78.0,45.0,22.0,6.8
andhra pradesh,cotton,2010,293.2918181818182,7.9188790909090905,3.5195018181818183,7.9188790909090905,78.0,45.0,22.0,6.8
