state,crop,year,yield,rainfall,temperature,humidity,n_req_kg_per_ha,p_req_kg_per_ha,k_req_kg_per_ha,n,p,k,ph,temperature_nasa,rainfall_nasa,humidity_nasa
andhra pradesh,chickpea,1981,531.1844444444445,600.0,20.0,60.0,9.56132,5.311844444444445,9.56132,78.0,45.0,22.0,6.8,27.727500000000003,972.99,68.59916666666668
andhra pradesh,chickpea,1982,758.1855555555555,600.0,20.0,60.0,13.64734,7.581855555555555,13.64734,78.0,45.0,22.0,6.8,27.97083333333333,816.74,67.57333333333334
andhra pradesh,chickpea,1983,694.395,600.0,20.0,60.0,12.49911,6.94395,12.49911,78.0,45.0,22.0,6.8,28.19333333333333,820.74,67.2925
andhra pradesh,chickpea,1984,494.65125,600.0,20.0,60.0,8.9037225,4.9465125,8.9037225,78.0,45.0,22.0,6.8,28.4725,537.16,63.56333333333333
andhra pradesh,chickpea,1985,499.345,600.0,20.0,60.0,8.98821,4.99345,8.98821,78.0,45.0,22.0,6.8,28.000833333333333,669.94,65.21833333333333
andhra pradesh,chickpea,1986,542.308,600.0,20.0,60.0,9.761544,5.423080000000001,9.761544,78.0,45.0,22.0,6.8,28.394166666666667,549.7,64.37666666666667
andhra pradesh,chickpea,1987,507.1425,600.0,20.0,60.0,9.128565,5.071425,9.128565,78.0,45.0,22.0,6.8,28.185,942.88,66.24916666666667
andhra pradesh,chickpea,1988,533.1985714285714,600.0,20.0,60.0,9.597574285714286,5.3319857142857146,9.597574285714286,78.0,45.0,22.0,6.8,28.246666666666663,729.52,66.8525
andhra pradesh,chickpea,1989,693.225,600.0,20.0,60.0,12.47805,6.93225,12.47805,78.0,45.0,22.0,6.8,28.10166666666667,773.1400000000001,64.75083333333333
andhra pradesh,chickpea,1990,1039.9066666666668,600.0,20.0,60.0,18.71832,10.399066666666666,18.71832,78.0,45.0,22.0,6.8,28.0725,877.89,68.06083333333333
andhra pradesh,chickpea,1991,789.6766666666667,600.0,20.0,60.0,14.21418,7.896766666666666,14.21418,78.0,45.0,22.0,6.8,27.9225,1038.93,69.27
andhra pradesh,chickpea,1992,687.6166666666667,600.0,20.0,60.0,12.3771,6.876166666666666,12.3771,78.0,45.0,22.0,6.8,27.723333333333333,829.3399999999999,67.62083333333332
andhra pradesh,chickpea,1993,837.634,600.0,20.0,60.0,15.077412,8.376339999999999,15.077412,78.0,45.0,22.0,6.8,28.09166666666667,715.8199999999999,66.38083333333334
andhra pradesh,chickpea,1994,1074.506,600.0,20.0,60.0,19.341108,10.74506,19.341108,78.0,45.0,22.0,6.8,27.99666666666667,1160.23,67.88666666666667
andhra pradesh,chickpea,1995,826.64,600.0,20.0,60.0,14.87952,8.2664,14.87952,78.0,45.0,22.0,6.8,27.335,943.52,71.72250000000001
andhra pradesh,chickpea,1996,1128.282,600.0,20.0,60.0,20.309076,11.28282,20.309076,78.0,45.0,22.0,6.8,27.741666666666664,1035.1,69.48833333333333
andhra pradesh,chickpea,1997,524.9060000000001,600.0,20.0,60.0,9.448308,5.24906,9.448308,78.0,45.0,22.0,6.8,28.239166666666662,1061.76,67.78166666666667
andhra pradesh,chickpea,1998,1521.622,600.0,20.0,60.0,27.389196,15.216220000000002,27.389196,78.0,45.0,22.0,6.8,28.304166666666664,874.96,69.75666666666667
andhra pradesh,chickpea,1999,948.783,600.0,20.0,60.0,17.078094,9.48783,17.078094,78.0,45.0,22.0,6.8,28.271666666666665,489.34,64.115
andhra pradesh,chickpea,2000,1633.015,600.0,20.0,60.0,29.39427,16.33015,29.39427,78.0,45.0,22.0,6.8,27.813333333333333,968.01,69.265
andhra pradesh,chickpea,2001,1507.4463636363637,600.0,20.0,60.0,27.134034545454544,15.07446363636364,27.134034545454544,78.0,45.0,22.0,6.8,28.26,822.89,66.48666666666666
andhra pradesh,chickpea,2002,931.586,600.0,20.0,60.0,16.768548,9.31586,16.768548,78.0,45.0,22.0,6.8,28.361666666666665,735.8900000000001,66.395
andhra pradesh,chickpea,2003,1351.0933333333332,600.0,20.0,60.0,24.31968,13.510933333333334,24.31968,78.0,45.0,22.0,6.8,28.42833333333333,751.63,66.89
andhra pradesh,chickpea,2004,1184.1950000000002,600.0,20.0,60.0,21.31551,11.84195,21.31551,78.0,45.0,22.0,6.8,27.83,683.07,68.0125
andhra pradesh,chickpea,2005,1904.9311111111112,600.0,20.0,60.0,34.28876,19.049311111111116,34.28876,78.0,45.0,22.0,6.8,27.891666666666666,1058.68,70.065
andhra pradesh,chickpea,2006,1462.9744444444443,600.0,20.0,60.0,26.33354,14.629744444444444,26.33354,78.0,45.0,22.0,6.8,27.756666666666664,1095.2,69.35833333333333
andhra pradesh,chickpea,2007,1264.678,600.0,20.0,60.0,22.764204,12.64678,22.764204,78.0,45.0,22.0,6.8,27.429166666666664,993.31,71.05
andhra pradesh,chickpea,2008,1491.276,600.0,20.0,60.0,26.842968000000003,14.91276,26.842968000000003,78.0,45.0,22.0,6.8,27.938333333333333,957.36,68.18166666666666
andhra pradesh,chickpea,2009,1450.517,600.0,20.0,60.0,26.109306,14.50517,26.109306,78.0,45.0,22.0,6.8,28.409166666666664,799.56,66.82083333333334
andhra pradesh,chickpea,2010,1462.0266666666666,600.0,20.0,60.0,26.31648,14.620266666666668,26.31648,78.0,45.0,22.0,6.8,27.9275,1253.24,72.31583333333333
andhra pradesh,chickpea,2011,1256.256666666667,600.0,20.0,60.0,22.61262,12.562566666666669,22.61262,78.0,45.0,22.0,6.8,28.33,561.73,65.26916666666666
andhra pradesh,chickpea,2012,1357.942,600.0,20.0,60.0,24.442956,13.57942,24.442956,78.0,45.0,22.0,6.8,28.27333333333333,885.7,66.21
andhra pradesh,chickpea,2013,1615.866,600.0,20.0,60.0,29.085588,16.15866,29.085588,78.0,45.0,22.0,6.8,27.691666666666663,1052.23,69.63250000000001
andhra pradesh,chickpea,2014,1574.3745454545451,600.0,20.0,60.0,28.338741818181816,15.743745454545454,28.338741818181816,78.0,45.0,22.0,6.8,28.26833333333333,710.77,65.44583333333334
andhra pradesh,chickpea,2015,1556.516,600.0,20.0,60.0,28.017288,15.56516,28.017288,78.0,45.0,22.0,6.8,28.352500000000003,671.24,65.745
andhra pradesh,chickpea,2016,1213.6722222222222,600.0,20.0,60.0,21.8461,12.136722222222222,21.8461,78.0,45.0,22.0,6.8,28.305833333333336,741.02,65.38250000000001
andhra pradesh,chickpea,2017,1310.254,600.0,20.0,60.0,23.584572,13.10254,23.584572,78.0,45.0,22.0,6.8,28.301666666666662,845.83,67.44916666666667
andhra pradesh,cotton,1981,311.16285714285715,700.0,28.0,65.0,8.401397142857142,3.733954285714286,8.401397142857142,78.0,45.0,22.0,6.8,27.727500000000003,972.99,68.59916666666668
andhra pradesh,cotton,1982,286.9871428571428,700.0,28.0,65.0,7.748652857142857,3.443845714285714,7.748652857142857,78.0,45.0,22.0,6.8,27.97083333333333,816.74,67.57333333333334
andhra pradesh,cotton,1983,451.0,700.0,28.0,65.0,12.177,5.412,12.177,78.0,45.0,22.0,6.8,28.19333333333333,820.74,67.2925
andhra pradesh,cotton,1984,328.40625,700.0,28.0,65.0,8.86696875,3.940875,8.86696875,78.0,45.0,22.0,6.8,28.4725,537.16,63.56333333333333
andhra pradesh,cotton,1985,229.2325,700.0,28.0,65.0,6.1892775,2.75079,6.1892775,78.0,45.0,22.0,6.8,28.000833333333333,669.94,65.21833333333333
andhra pradesh,cotton,1986,269.795,700.0,28.0,65.0,7.284465,3.23754,7.284465,78.0,45.0,22.0,6.8,28.394166666666667,549.7,64.37666666666667
andhra pradesh,cotton,1987,148.11875,700.0,28.0,65.0,3.99920625,1.777425,3.99920625,78.0,45.0,22.0,6.8,28.185,942.88,66.24916666666667
andhra pradesh,cotton,1988,193.65,700.0,28.0,65.0,5.22855,2.3238,5.22855,78.0,45.0,22.0,6.8,28.246666666666663,729.52,66.8525
andhra pradesh,cotton,1989,403.19666666666666,700.0,28.0,65.0,10.88631,4.83836,10.88631,78.0,45.0,22.0,6.8,28.10166666666667,773.1400000000001,64.75083333333333
andhra pradesh,cotton,1990,356.646,700.0,28.0,65.0,9.629442,4.279752,9.629442,78.0,45.0,22.0,6.8,28.0725,877.89,68.06083333333333
andhra pradesh,cotton,1991,453.343,700.0,28.0,65.0,12.240261,5.440116,12.240261,78.0,45.0,22.0,6.8,27.9225,1038.93,69.27
andhra pradesh,cotton,1992,311.548,700.0,28.0,65.0,8.411795999999999,3.738576000000001,8.411795999999999,78.0,45.0,22.0,6.8,27.723333333333333,829.3399999999999,67.62083333333332
andhra pradesh,cotton,1993,381.30625,700.0,28.0,65.0,10.29526875,4.575675,10.29526875,78.0,45.0,22.0,6.8,28.09166666666667,715.8199999999999,66.38083333333334
andhra pradesh,cotton,1994,358.246,700.0,28.0,65.0,9.672642,4.298952,9.672642,78.0,45.0,22.0,6.8,27.99666666666667,1160.23,67.88666666666667
andhra pradesh,cotton,1995,315.661,700.0,28.0,65.0,8.522847,3.787932,8.522847,78.0,45.0,22.0,6.8,27.335,943.52,71.72250000000001
andhra pradesh,cotton,1996,399.759,700.0,28.0,65.0,10.793493,4.797108,10.793493,78.0,45.0,22.0,6.8,27.741666666666664,1035.1,69.48833333333333
andhra pradesh,cotton,1997,345.612,700.0,28.0,65.0,9.331524,4.147344,9.331524,78.0,45.0,22.0,6.8,28.239166666666662,1061.76,67.78166666666667
andhra pradesh,cotton,1998,150.974,700.0,28.0,65.0,4.076298,1.811688,4.076298,78.0,45.0,22.0,6.8,28.304166666666664,874.96,69.75666666666667
andhra pradesh,cotton,1999,247.15,700.0,28.0,65.0,6.673049999999999,2.9658,6.673049999999999,78.0,45.0,22.0,6.8,28.271666666666665,489.34,64.115
andhra pradesh,cotton,2000,291.336,700.0,28.0,65.0,7.866072,3.496032,7.866072,78.0,45.0,22.0,6.8,27.813333333333333,968.01,69.265
andhra pradesh,cotton,2001,351.343,700.0,28.0,65.0,9.486261,4.216116,9.486261,78.0,45.0,22.0,6.8,28.26,822.89,66.48666666666666
andhra pradesh,cotton,2002,257.444,700.0,28.0,65.0,6.950988,3.089328,6.950988,78.0,45.0,22.0,6.8,28.361666666666665,735.8900000000001,66.395
andhra pradesh,cotton,2003,350.837,700.0,28.0,65.0,9.472599,4.210044,9.472599,78.0,45.0,22.0,6.8,28.42833333333333,751.63,66.89
andhra pradesh,cotton,2004,332.45,700.0,28.0,65.0,8.97615,3.9894,8.97615,78.0,45.0,22.0,6.8,27.83,683.07,68.0125
andhra pradesh,cotton,2005,254.638,700.0,28.0,65.0,6.875226,3.055656,6.875226,78.0,45.0,22.0,6.8,27.891666666666666,1058.68,70.065
andhra pradesh,cotton,2006,340.14,700.0,28.0,65.0,9.18378,4.08168,9.18378,78.0,45.0,22.0,6.8,27.756666666666664,1095.2,69.35833333333333
andhra pradesh,cotton,2007,417.501,700.0,28.0,65.0,11.272527,5.010012000000001,11.272527,78.0,45.0,22.0,6.8,27.429166666666664,993.31,71.05
andhra pradesh,cotton,2008,402.2763636363636,700.0,28.0,65.0,10.861461818181818,4.827316363636364,10.861461818181818,78.0,45.0,22.0,6.8,27.938333333333333,957.36,68.18166666666666
andhra pradesh,cotton,2009,382.23545454545456,700.0,28.0,65.0,10.320357272727271,4.586825454545455,10.320357272727271,78.0,45.0,22.0,6.8,28.409166666666664,799.56,66.82083333333334
andhra pradesh,cotton,2010,293.2918181818182,700.0,28.0,65.0,7.91887909090909,3.5195018181818183,7.91887909090909,78.0,45.0,22.0,6.8,27.9275,1253.24,72.31583333333333
