state,year,temperature_nasa,rainfall_nasa,humidity_nasa
andhra pradesh,198101,23.87,0.45,69.97
andhra pradesh,198102,26.79,0.01,57.35
andhra pradesh,198103,28.8,0.96,60.54
andhra pradesh,198104,32.46,0.46,53.88
andhra pradesh,198105,33.62,1.14,51.7
andhra pradesh,198106,31.69,4.07,57.52
andhra pradesh,198107,28.63,4.33,72.97
andhra pradesh,198108,27.96,4.67,74.83
andhra pradesh,198109,26.98,6.18,83.98
andhra pradesh,198110,26.02,7.32,83.27
andhra pradesh,198111,23.3,1.76,80.27
andhra pradesh,198112,22.61,0.44,76.91
andhra pradesh,198113,27.73,2.67,68.69
andhra pradesh,198201,23.45,0.2,72.6
andhra pradesh,198202,26.88,0.0,63.55
andhra pradesh,198203,29.64,0.0,57.35
andhra pradesh,198204,31.92,0.38,54.18
andhra pradesh,198205,32.74,0.77,53.02
andhra pradesh,198206,30.73,3.59,59.99
andhra pradesh,198207,28.53,5.82,71.77
andhra pradesh,198208,28.59,2.69,70.11
andhra pradesh,198209,28.03,4.6,73.89
andhra pradesh,198210,26.76,4.75,77.3
andhra pradesh,198211,24.74,3.94,83.36
andhra pradesh,198212,23.64,0.01,73.76
andhra pradesh,198213,27.97,2.24,67.6
andhra pradesh,198301,24.59,0.0,64.65
andhra pradesh,198302,28.17,0.02,62.03
andhra pradesh,198303,30.52,0.0,54.15
andhra pradesh,198304,32.62,0.0,53.16
andhra pradesh,198305,34.04,0.51,51.56
andhra pradesh,198306,31.73,2.56,56.04
andhra pradesh,198307,29.36,4.31,66.95
andhra pradesh,198308,27.91,6.24,79.11
andhra pradesh,198309,26.93,8.48,83.83
andhra pradesh,198310,25.84,3.59,83.97
andhra pradesh,198311,23.23,0.51,77.14
andhra pradesh,198312,23.38,0.63,74.92
andhra pradesh,198313,28.19,2.25,67.33
andhra pradesh,198401,25.02,0.11,70.04
andhra pradesh,198402,26.07,1.8,67.24
andhra pradesh,198403,29.14,0.23,56.04
andhra pradesh,198404,31.99,0.05,55.16
andhra pradesh,198405,34.93,0.13,45.02
andhra pradesh,198406,31.2,1.11,54.79
andhra pradesh,198407,28.44,4.66,70.38
andhra pradesh,198408,29.14,1.12,65.44
andhra pradesh,198409,28.7,2.86,67.95
andhra pradesh,198410,27.23,3.04,71.63
andhra pradesh,198411,25.07,2.37,71.34
andhra pradesh,198412,24.74,0.17,67.73
andhra pradesh,198413,28.48,1.47,63.56
andhra pradesh,198501,24.03,2.21,74.78
andhra pradesh,198502,27.2,0.0,60.93
andhra pradesh,198503,29.33,0.6,57.79
andhra pradesh,198504,33.48,0.04,49.6
andhra pradesh,198505,34.42,0.23,43.67
andhra pradesh,198506,29.64,2.12,63.54
andhra pradesh,198507,28.5,3.6,66.84
andhra pradesh,198508,28.08,3.13,72.28
andhra pradesh,198509,28.16,1.1,71.5
andhra pradesh,198510,25.31,6.16,78.09
andhra pradesh,198511,23.75,1.36,71.9
andhra pradesh,198512,24.11,1.21,71.7
andhra pradesh,198513,28.0,1.84,65.27
andhra pradesh,198601,23.29,2.13,70.97
andhra pradesh,198602,25.33,0.24,68.88
andhra pradesh,198603,29.41,0.0,58.22
andhra pradesh,198604,31.95,0.14,55.49
andhra pradesh,198605,35.27,0.44,43.4
andhra pradesh,198606,30.46,2.05,60.88
andhra pradesh,198607,29.78,1.67,60.97
andhra pradesh,198608,28.82,3.91,68.58
andhra pradesh,198609,29.28,1.14,66.69
andhra pradesh,198610,27.85,2.2,70.4
andhra pradesh,198611,24.87,3.94,75.93
andhra pradesh,198612,24.42,0.13,72.11
andhra pradesh,198613,28.41,1.51,64.34
andhra pradesh,198701,24.62,0.66,67.02
andhra pradesh,198702,25.6,0.0,58.11
andhra pradesh,198703,28.42,1.32,58.82
andhra pradesh,198704,32.45,0.2,51.9
andhra pradesh,198705,33.13,0.29,51.39
andhra pradesh,198706,31.84,1.23,56.3
andhra pradesh,198707,30.36,1.87,59.64
andhra pradesh,198708,28.92,5.36,71.03
andhra pradesh,198709,29.09,2.01,72.24
