state,crop,year,yield,rainfall,temperature,humidity,n_req_kg_per_ha,p_req_kg_per_ha,k_req_kg_per_ha,n,p,k,ph
andhra pradesh,chickpea,1966,324.0733333333333,600.0,20.0,60.0,5.83332,3.240733333333333,5.83332,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1967,350.61555555555555,600.0,20.0,60.0,6.3110800000000005,3.5061555555555555,6.3110800000000005,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1968,380.6688888888889,600.0,20.0,60.0,6.85204,3.8066888888888886,6.85204,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1969,329.9825,600.0,20.0,60.0,5.939685,3.2998250000000002,5.939685,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1970,498.9455555555556,600.0,20.0,60.0,8.98102,4.989455555555555,8.98102,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1971,450.7575,600.0,20.0,60.0,8.113635,4.507575,8.113635,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1972,220.00666666666666,600.0,20.0,60.0,3.96012,2.200066666666667,3.96012,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1973,382.4814285714286,600.0,20.0,60.0,6.884665714285714,3.8248142857142855,6.884665714285714,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1974,444.4625,600.0,20.0,60.0,8.000325,4.444625,8.000325,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1975,607.675,600.0,20.0,60.0,10.93815,6.07675,10.93815,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1976,409.94888888888886,600.0,20.0,60.0,7.37908,4.099488888888889,7.37908,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1977,439.84625,600.0,20.0,60.0,7.917232500000001,4.3984625,7.917232500000001,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1978,480.025,600.0,20.0,60.0,8.64045,4.80025,8.64045,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1979,456.21375,600.0,20.0,60.0,8.2118475,4.5621375,8.2118475,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1980,504.8833333333333,600.0,20.0,60.0,9.0879,5.048833333333333,9.0879,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1981,531.1844444444445,600.0,20.0,60.0,9.56132,5.311844444444445,9.56132,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1982,758.1855555555555,600.0,20.0,60.0,13.64734,7.581855555555555,13.64734,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1983,694.395,600.0,20.0,60.0,12.49911,6.94395,12.49911,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1984,494.65125,600.0,20.0,60.0,8.9037225,4.9465125,8.9037225,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1985,499.34499999999997,600.0,20.0,60.0,8.98821,4.99345,8.98821,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1986,542.308,600.0,20.0,60.0,9.761544,5.423080000000001,9.761544,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1987,507.1425,600.0,20.0,60.0,9.128565,5.071425,9.128565,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1988,533.1985714285714,600.0,20.0,60.0,9.597574285714286,5.3319857142857146,9.597574285714286,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1989,693.225,600.0,20.0,60.0,12.478050000000001,6.93225,12.478050000000001,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1990,1039.9066666666668,600.0,20.0,60.0,18.71832,10.399066666666666,18.71832,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1991,789.6766666666667,600.0,20.0,60.0,14.21418,7.896766666666666,14.21418,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1992,687.6166666666667,600.0,20.0,60.0,12.3771,6.876166666666666,12.3771,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1993,837.634,600.0,20.0,60.0,15.077411999999999,8.376339999999999,15.077411999999999,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1994,1074.5059999999999,600.0,20.0,60.0,19.341108,10.745059999999999,19.341108,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1995,826.64,600.0,20.0,60.0,14.87952,8.2664,14.87952,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1996,1128.282,600.0,20.0,60.0,20.309076,11.282820000000001,20.309076,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1997,524.9060000000001,600.0,20.0,60.0,9.448308,5.24906,9.448308,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1998,1521.622,600.0,20.0,60.0,27.389196,15.216220000000002,27.389196,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,1999,948.783,600.0,20.0,60.0,17.078094,9.487829999999999,17.078094,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2000,1633.0149999999999,600.0,20.0,60.0,29.39427,16.33015,29.39427,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2001,1507.4463636363637,600.0,20.0,60.0,27.134034545454544,15.074463636363639,27.134034545454544,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2002,931.586,600.0,20.0,60.0,16.768548,9.31586,16.768548,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2003,1351.0933333333332,600.0,20.0,60.0,24.31968,13.510933333333334,24.31968,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2004,1184.1950000000002,600.0,20.0,60.0,21.31551,11.84195,21.31551,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2005,1904.9311111111112,600.0,20.0,60.0,34.288759999999996,19.049311111111113,34.288759999999996,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2006,1462.9744444444445,600.0,20.0,60.0,26.33354,14.629744444444444,26.33354,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2007,1264.678,600.0,20.0,60.0,22.764204,12.64678,22.764204,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2008,1491.276,600.0,20.0,60.0,26.842968000000003,14.91276,26.842968000000003,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2009,1450.517,600.0,20.0,60.0,26.109305999999997,14.505170000000001,26.109305999999997,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2010,1462.0266666666666,600.0,20.0,60.0,26.31648,14.620266666666668,26.31648,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2011,1256.2566666666667,600.0,20.0,60.0,22.61262,12.562566666666667,22.61262,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2012,1357.942,600.0,20.0,60.0,24.442956000000002,13.579419999999999,24.442956000000002,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2013,1615.866,600.0,20.0,60.0,29.085588,16.15866,29.085588,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2014,1574.3745454545453,600.0,20.0,60.0,28.338741818181816,15.743745454545454,28.338741818181816,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2015,1556.516,600.0,20.0,60.0,28.017288,15.56516,28.017288,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2016,1213.6722222222222,600.0,20.0,60.0,21.8461,12.136722222222222,21.8461,78.0,45.0,22.0,6.8
andhra pradesh,chickpea,2017,1310.2540000000001,600.0,20.0,60.0,23.584572,13.10254,23.584572,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1966,68.88333333333334,700.0,28.0,65.0,1.85985,0.8266,1.85985,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1967,131.23166666666665,700.0,28.0,65.0,3.543255,1.5747799999999998,3.543255,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1968,69.83666666666666,700.0,28.0,65.0,1.8855899999999999,0.83804,1.8855899999999999,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1969,87.35666666666667,700.0,28.0,65.0,2.3586300000000002,1.0482799999999999,2.3586300000000002,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1970,103.024,700.0,28.0,65.0,2.7816479999999997,1.236288,2.7816479999999997,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1971,135.40375,700.0,28.0,65.0,3.65590125,1.624845,3.65590125,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1972,116.74714285714285,700.0,28.0,65.0,3.1521728571428573,1.4009657142857144,3.1521728571428573,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1973,200.05375,700.0,28.0,65.0,5.40145125,2.400645,5.40145125,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1974,282.395,700.0,28.0,65.0,7.624665,3.38874,7.624665,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1975,210.06285714285715,700.0,28.0,65.0,5.671697142857143,2.5207542857142857,5.671697142857143,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1976,158.07857142857142,700.0,28.0,65.0,4.268121428571429,1.8969428571428573,4.268121428571429,78.0,45.0,22.0,6.8
andhra pradesh,cotton,1977,104.21571428571428,700.0,28.0,65.0,2.813824285714286,1.2505885714285714,2.813824285714286,78.0,45.0,22.0,6.8
